"","endstate","startstate","NgramSize"
"america","and","america",2
"american","idol","american",2
"americans","are","americans",2
"americas","most","americas",2
"among","the","among",2
"amount","of","amount",2
"amounts","of","amounts",2
"amsterdam","the","amsterdam",2
"amusement","park","amusement",2
"amy","winehouse","amy",2
"an","hour","an",2
"analogous","to","analogous",2
"analogy","for","analogy",2
"analysis","of","analysis",2
"analyst","for","analyst",2
"analyze","their","analyze",2
"anchor","in","anchor",2
"anchoring","the","anchoring",2
"ancient","chinese","ancient",2
"and","the","and",2
"anderson","and","anderson",2
"andre","and","andre",2
"andrew","bynum","andrew",2
"android","phone","android",2
"angel","and","angel",2
"angeles","times","angeles",2
"angelina","jolie","angelina",2
"angels","and","angels",2
"anger","and","anger",2
"angry","birds","angry",2
"animal","that","animal",2
"animals","and","animals",2
"animated","and","animated",2
"ankle","injury","ankle",2
"ann","arbor","ann",2
"anniversary","of","anniversary",2
"announce","the","announce",2
"announced","that","announced",2
"announcement","of","announcement",2
"announces","that","announces",2
"announcing","the","announcing",2
"annoy","you","annoy",2
"annoyed","by","annoyed",2
"annoying","and","annoying",2
"annual","meeting","annual",2
"annually","in","annually",2
"another","one","another",2
"anquan","boldin","anquan",2
"answer","to","answer",2
"answered","the","answered",2
"answering","questions","answering",2
"answers","to","answers",2
"antibiotics","and","antibiotics",2
"anticipating","that","anticipating",2
"anticipation","of","anticipation",2
"antidote","to","antidote",2
"antique","shop","antique",2
"antiques","roadshow","antiques",2
"antithesis","of","antithesis",2
"antonio","spurs","antonio",2
"ants","in","ants",2
"anxiety","that","anxiety",2
"anxious","to","anxious",2
"any","of","any",2
"anybody","else","anybody",2
"anymore","i","anymore",2
"anyone","who","anyone",2
"anything","to","anything",2
"anytime","soon","anytime",2
"anyway","i","anyway",2
"anywhere","in","anywhere",2
"apart","from","apart",2
"apartment","in","apartment",2
"apartments","and","apartments",2
"apologies","for","apologies",2
"apologize","for","apologize",2
"apologized","for","apologized",2
"apology","for","apology",2
"app","for","app",2
"appalled","that","appalled",2
"apparently","the","apparently",2
"appeal","to","appeal",2
"appealing","to","appealing",2
"appeals","in","appeals",2
"appear","to","appear",2
"appearance","of","appearance",2
"appeared","to","appeared",2
"appearing","in","appearing",2
"appears","to","appears",2
"appetite","for","appetite",2
"appetizers","and","appetizers",2
"applaud","her","applaud",2
"applause","from","applause",2
"apple","and","apple",2
"apples","and","apples",2
"applicants","who","applicants",2
"application","of","application",2
"applications","for","applications",2
"applied","to","applied",2
"applies","to","applies",2
"apply","to","apply",2
"applying","for","applying",2
"appointed","by","appointed",2
"appointment","with","appointment",2
"appreciate","it","appreciate",2
"appreciated","the","appreciated",2
"appreciates","the","appreciates",2
"appreciation","for","appreciation",2
"approach","to","approach",2
"approaches","to","approaches",2
"approaching","the","approaching",2
"appropriate","for","appropriate",2
"appropriation","of","appropriation",2
"approval","to","approval",2
"approve","of","approve",2
"approved","by","approved",2
"approximately","of","approximately",2
"apps","for","apps",2
"april","th","april",2
"aptitude","for","aptitude",2
"aquarium","and","aquarium",2
"arab","spring","arab",2
"arbitrary","and","arbitrary",2
"arc","of","arc",2
"arcade","fire","arcade",2
"architect","of","architect",2
"architects","of","architects",2
"architecture","is","architecture",2
"are","you","are",2
"area","of","area",2
"areas","of","areas",2
"arena","and","arena",2
"arent","you","arent",2
"arguably","the","arguably",2
"argue","that","argue",2
"arguing","with","arguing",2
"argument","that","argument",2
"arguments","for","arguments",2
"arian","foster","arian",2
"arizona","state","arizona",2
"arjen","robben","arjen",2
"arkansas","in","arkansas",2
"arm","and","arm",2
"armed","with","armed",2
"armor","and","armor",2
"arms","and","arms",2
"army","of","army",2
"arnold","schwarzenegger","arnold",2
"aroma","of","aroma",2
"around","the","around",2
"arrange","for","arrange",2
"arranged","for","arranged",2
"arrangements","and","arrangements",2
"array","of","array",2
"arrest","in","arrest",2
"arrested","in","arrested",2
"arrival","of","arrival",2
"arrive","at","arrive",2
"arrived","at","arrived",2
"arrives","in","arrives",2
"arriving","at","arriving",2
"arrow","at","arrow",2
"arsenal","of","arsenal",2
"art","of","art",2
"article","in","article",2
"articles","and","articles",2
"artist","and","artist",2
"artists","and","artists",2
"arts","and","arts",2
"as","a","as",2
"ashamed","of","ashamed",2
"asheville","and","asheville",2
"asia","and","asia",2
"asian","american","asian",2
"aside","from","aside",2
"ask","for","ask",2
"asked","me","asked",2
"asking","for","asking",2
"asks","me","asks",2
"asleep","in","asleep",2
"aspect","of","aspect",2
"aspects","of","aspects",2
"aspire","to","aspire",2
"assad","regime","assad",2
"assault","on","assault",2
"assembly","to","assembly",2
"assess","the","assess",2
"assessment","of","assessment",2
"asset","management","asset",2
"assets","and","assets",2
"assigned","to","assigned",2
"assist","in","assist",2
"assistance","to","assistance",2
"assistant","professor","assistant",2
"assisted","by","assisted",2
"assists","and","assists",2
"associate","professor","associate",2
"associated","with","associated",2
"associates","to","associates",2
"association","of","association",2
"assortment","of","assortment",2
"assume","that","assume",2
"assumed","that","assumed",2
"assumes","the","assumes",2
"assuming","that","assuming",2
"assumption","that","assumption",2
"assure","you","assure",2
"assured","that","assured",2
"asthma","and","asthma",2
"asylum","in","asylum",2
"at","the","at",2
"ate","the","ate",2
"athlete","of","athlete",2
"athletes","who","athletes",2
"athletic","and","athletic",2
"athletics","director","athletics",2
"atlanta","and","atlanta",2
"atlantic","city","atlantic",2
"atmosphere","of","atmosphere",2
"atop","a","atop",2
"attach","the","attach",2
"attached","to","attached",2
"attack","on","attack",2
"attacked","by","attacked",2
"attacking","the","attacking",2
"attacks","and","attacks",2
"attempt","to","attempt",2
"attempted","to","attempted",2
"attempting","to","attempting",2
"attempts","to","attempts",2
"attend","the","attend",2
"attendance","and","attendance",2
"attended","the","attended",2
"attendees","are","attendees",2
"attending","the","attending",2
"attention","to","attention",2
"attest","to","attest",2
"attitude","and","attitude",2
"attorney","in","attorney",2
"attorneys","office","attorneys",2
"attract","the","attract",2
"attracted","to","attracted",2
"attractive","to","attractive",2
"attracts","a","attracts",2
"attributed","to","attributed",2
"auction","for","auction",2
"auctioned","off","auctioned",2
"audience","to","audience",2
"audio","and","audio",2
"audition","for","audition",2
"auditioned","for","auditioned",2
"auditioning","for","auditioning",2
"auditorium","at","auditorium",2
"audrey","hepburn","audrey",2
"aug","and","aug",2
"august","and","august",2
"aunt","and","aunt",2
"aunts","uncles","aunts",2
"austin","and","austin",2
"australia","and","australia",2
"author","of","author",2
"authorities","say","authorities",2
"authority","to","authority",2
"authors","and","authors",2
"autism","spectrum","autism",2
"auto","industry","auto",2
"autumn","and","autumn",2
"available","to","available",2
"avatar","the","avatar",2
"ave","in","ave",2
"avenue","and","avenue",2
"average","of","average",2
"averaging","about","averaging",2
"avoid","the","avoid",2
"avoids","the","avoids",2
"await","a","await",2
"awaiting","the","awaiting",2
"awake","and","awake",2
"award","for","award",2
"awarded","to","awarded",2
"awards","and","awards",2
"aware","of","aware",2
"awareness","of","awareness",2
"away","from","away",2
"awe","of","awe",2
"awesome","and","awesome",2
"awesomeness","of","awesomeness",2
"awful","if","awful",2
"awhile","to","awhile",2
"awkward","for","awkward",2
"awoke","to","awoke",2
"ayn","rand","ayn",2
"b","c","b",2
"b—","in","b—",2
"babe","ruth","babe",2
"babies","and","babies",2
"baby","is","baby",2
"bachelors","degree","bachelors",2
"back","to","back",2
"backbone","of","backbone",2
"backed","by","backed",2
"background","and","background",2
"backing","out","backing",2
"backs","of","backs",2
"backstreet","boys","backstreet",2
"backup","singers","backup",2
"backward","to","backward",2
"bacon","and","bacon",2
"bacteria","and","bacteria",2
"bad","for","bad",2
"bag","of","bag",2
"bags","and","bags",2
"bail","on","bail",2
"bailed","out","bailed",2
"bake","for","bake",2
"baked","potatoes","baked",2
"bakery","and","bakery",2
"baking","in","baking",2
"balance","the","balance",2
"balanced","and","balanced",2
"balances","the","balances",2
"balancing","act","balancing",2
"balked","at","balked",2
"ball","and","ball",2
"ballot","in","ballot",2
"ballroom","in","ballroom",2
"balls","and","balls",2
"baltimore","city","baltimore",2
"ban","on","ban",2
"banana","and","banana",2
"band","of","band",2
"bands","and","bands",2
"bandwidth","for","bandwidth",2
"bang","theory","bang",2
"banging","on","banging",2
"bank","of","bank",2
"bankruptcy","and","bankruptcy",2
"banks","and","banks",2
"banned","from","banned",2
"baptist","church","baptist",2
"bar","and","bar",2
"barack","obama","barack",2
"barbara","walters","barbara",2
"barbed","wire","barbed",2
"barbra","streisand","barbra",2
"bare","bones","bare",2
"barely","make","barely",2
"bargaining","rights","bargaining",2
"barn","in","barn",2
"barnes","noble","barnes",2
"barney","frank","barney",2
"baron","davis","baron",2
"barred","from","barred",2
"barrel","and","barrel",2
"barrier","to","barrier",2
"barriers","and","barriers",2
"barring","a","barring",2
"barry","bonds","barry",2
"bars","and","bars",2
"base","of","base",2
"baseball","game","baseball",2
"based","on","based",2
"basic","knowledge","basic",2
"basically","the","basically",2
"basics","of","basics",2
"basil","and","basil",2
"basis","for","basis",2
"bask","in","bask",2
"basket","and","basket",2
"basketball","team","basketball",2
"baskets","for","baskets",2
"bass","and","bass",2
"bat","in","bat",2
"batch","of","batch",2
"batches","of","batches",2
"bath","and","bath",2
"bathed","in","bathed",2
"bathroom","and","bathroom",2
"batman","or","batman",2
"baton","rouge","baton",2
"bats","are","bats",2
"battered","and","battered",2
"battery","life","battery",2
"battle","of","battle",2
"battles","are","battles",2
"bay","area","bay",2
"bb","gun","bb",2
"bc","it","bc",2
"bcs","bowl","bcs",2
"be","a","be",2
"beach","and","beach",2
"beaches","and","beaches",2
"beans","and","beans",2
"bear","the","bear",2
"beard","and","beard",2
"bearded","lady","bearded",2
"beards","and","beards",2
"bears","no","bears",2
"beastie","boys","beastie",2
"beat","the","beat",2
"beaten","by","beaten",2
"beating","the","beating",2
"beatles","and","beatles",2
"beats","the","beats",2
"beautiful","and","beautiful",2
"beauty","of","beauty",2
"became","a","became",2
"because","i","because",2
"become","a","become",2
"becomes","a","becomes",2
"becoming","a","becoming",2
"bed","and","bed",2
"bedroom","and","bedroom",2
"beds","and","beds",2
"beecher","stowe","beecher",2
"beef","and","beef",2
"been","a","been",2
"beer","and","beer",2
"beers","and","beers",2
"before","the","before",2
"beg","for","beg",2
"began","to","began",2
"begging","for","begging",2
"begin","to","begin",2
"beginning","of","beginning",2
"begins","to","begins",2
"begs","the","begs",2
"begun","to","begun",2
"behalf","of","behalf",2
"behavior","is","behavior",2
"behind","the","behind",2
"beijing","and","beijing",2
"being","a","being",2
"belief","that","belief",2
"beliefs","and","beliefs",2
"believe","that","believe",2
"believed","in","believed",2
"believer","in","believer",2
"believes","that","believes",2
"believing","in","believing",2
"bell","and","bell",2
"bella","and","bella",2
"bells","on","bells",2
"belly","button","belly",2
"belong","to","belong",2
"belonged","to","belonged",2
"belongs","to","belongs",2
"below","the","below",2
"belt","and","belt",2
"belting","out","belting",2
"ben","stiller","ben",2
"bench","and","bench",2
"bend","in","bend",2
"beneath","it","beneath",2
"beneficial","for","beneficial",2
"benefit","from","benefit",2
"benefits","of","benefits",2
"benjamin","franklin","benjamin",2
"bent","on","bent",2
"beside","the","beside",2
"besides","the","besides",2
"best","of","best",2
"bet","you","bet",2
"betrayed","by","betrayed",2
"bets","on","bets",2
"better","than","better",2
"betterment","of","betterment",2
"betty","draper","betty",2
"between","the","between",2
"beverly","hills","beverly",2
"beware","of","beware",2
"beyond","the","beyond",2
"bible","and","bible",2
"bid","for","bid",2
"bidding","on","bidding",2
"bids","for","bids",2
"big","deal","big",2
"bigger","than","bigger",2
"biggest","problem","biggest",2
"bike","ride","bike",2
"biking","in","biking",2
"bill","that","bill",2
"billboard","and","billboard",2
"billing","for","billing",2
"billion","in","billion",2
"billions","of","billions",2
"bills","and","bills",2
"billy","graham","billy",2
"bin","laden","bin",2
"biography","of","biography",2
"biology","and","biology",2
"bird","of","bird",2
"birds","are","birds",2
"birth","of","birth",2
"birthday","to","birthday",2
"biscuits","and","biscuits",2
"bistro","in","bistro",2
"bit","of","bit",2
"bitch","and","bitch",2
"bite","of","bite",2
"bits","of","bits",2
"bitten","by","bitten",2
"bitter","that","bitter",2
"black","and","black",2
"blackberry","and","blackberry",2
"blacks","in","blacks",2
"blade","of","blade",2
"blah","blah","blah",2
"blake","griffin","blake",2
"blame","the","blame",2
"blamed","for","blamed",2
"blames","the","blames",2
"blanc","de","blanc",2
"blank","canvas","blank",2
"blanket","or","blanket",2
"blast","and","blast",2
"blazers","the","blazers",2
"bleed","and","bleed",2
"bless","you","bless",2
"blessed","to","blessed",2
"blessing","in","blessing",2
"blew","it","blew",2
"blind","to","blind",2
"blinded","by","blinded",2
"blinked","and","blinked",2
"blister","on","blister",2
"block","of","block",2
"blocked","shots","blocked",2
"blocking","the","blocking",2
"blocks","from","blocks",2
"blog","and","blog",2
"blogging","is","blogging",2
"blogs","and","blogs",2
"blonde","hair","blonde",2
"blood","pressure","blood",2
"bloomberg","and","bloomberg",2
"blooms","in","blooms",2
"blossom","and","blossom",2
"blow","to","blow",2
"blowing","up","blowing",2
"blown","away","blown",2
"blue","and","blue",2
"blues","and","blues",2
"blunt","and","blunt",2
"bluray","dvd","bluray",2
"bmw","and","bmw",2
"bo","xilai","bo",2
"board","of","board",2
"boarding","a","boarding",2
"boards","and","boards",2
"boardwalk","in","boardwalk",2
"boat","and","boat",2
"bob","marley","bob",2
"bobby","flay","bobby",2
"bock","and","bock",2
"bode","well","bode",2
"body","and","body",2
"bogged","down","bogged",2
"bomb","in","bomb",2
"bon","iver","bon",2
"bond","with","bond",2
"bonding","with","bonding",2
"bonds","to","bonds",2
"bone","marrow","bone",2
"bones","are","bones",2
"bonus","of","bonus",2
"book","is","book",2
"booked","a","booked",2
"booking","a","booking",2
"books","and","books",2
"boom","boom","boom",2
"boost","to","boost",2
"boot","camp","boot",2
"booth","and","booth",2
"boots","and","boots",2
"booty","call","booty",2
"booze","and","booze",2
"border","and","border",2
"borders","on","borders",2
"bored","and","bored",2
"born","in","born",2
"borrow","the","borrow",2
"borrowed","from","borrowed",2
"boss","and","boss",2
"bosses","are","bosses",2
"boston","celtics","boston",2
"both","of","both",2
"bother","to","bother",2
"bothered","by","bothered",2
"bothering","me","bothering",2
"bothers","me","bothers",2
"bottle","of","bottle",2
"bottled","water","bottled",2
"bottles","of","bottles",2
"bottom","of","bottom",2
"bought","a","bought",2
"boulevard","and","boulevard",2
"bounce","back","bounce",2
"bounced","back","bounced",2
"bound","to","bound",2
"boundaries","and","boundaries",2
"bouquet","of","bouquet",2
"bout","of","bout",2
"bow","and","bow",2
"bowl","of","bowl",2
"bowling","alley","bowling",2
"bowls","and","bowls",2
"box","of","box",2
"boxer","and","boxer",2
"boxes","of","boxes",2
"boxing","is","boxing",2
"boy","and","boy",2
"boyfriend","and","boyfriend",2
"boys","and","boys",2
"bracelet","that","bracelet",2
"braces","for","braces",2
"bracket","for","bracket",2
"brad","pitt","brad",2
"brady","and","brady",2
"brag","about","brag",2
"bragging","about","bragging",2
"brain","is","brain",2
"brains","and","brains",2
"brakes","on","brakes",2
"branch","of","branch",2
"branches","and","branches",2
"branching","out","branching",2
"brand","new","brand",2
"branding","and","branding",2
"brandon","is","brandon",2
"brands","and","brands",2
"brass","band","brass",2
"brave","new","brave",2
"braving","the","braving",2
"brawl","with","brawl",2
"brazil","and","brazil",2
"bread","and","bread",2
"breadth","of","breadth",2
"break","from","break",2
"breakdown","of","breakdown",2
"breakfast","and","breakfast",2
"breaking","news","breaking",2
"breaks","down","breaks",2
"breast","cancer","breast",2
"breath","and","breath",2
"breathe","in","breathe",2
"breathing","on","breathing",2
"breezy","and","breezy",2
"brewer","is","brewer",2
"brewers","in","brewers",2
"brewery","and","brewery",2
"brewing","co","brewing",2
"bribes","to","bribes",2
"brick","and","brick",2
"bride","and","bride",2
"bridge","and","bridge",2
"bridges","to","bridges",2
"brief","and","brief",2
"brigham","young","brigham",2
"bright","and","bright",2
"brighten","the","brighten",2
"brighter","than","brighter",2
"brilliance","of","brilliance",2
"brilliant","idea","brilliant",2
"bring","the","bring",2
"bringing","the","bringing",2
"brings","a","brings",2
"british","accent","british",2
"britney","spears","britney",2
"broad","daylight","broad",2
"broadcast","on","broadcast",2
"broadcasting","and","broadcasting",2
"broadway","in","broadway",2
"broccoli","and","broccoli",2
"broke","the","broke",2
"broken","down","broken",2
"broncos","have","broncos",2
"brooklyn","ny","brooklyn",2
"brother","and","brother",2
"brothers","and","brothers",2
"brought","to","brought",2
"broward","county","broward",2
"brown","and","brown",2
"browns","will","browns",2
"browse","the","browse",2
"browsing","the","browsing",2
"bruce","springsteen","bruce",2
"bruised","and","bruised",2
"bruno","mars","bruno",2
"brush","up","brush",2
"brushing","your","brushing",2
"brussels","sprouts","brussels",2
"brutal","and","brutal",2
"bubble","and","bubble",2
"buck","and","buck",2
"bucket","list","bucket",2
"buckets","of","buckets",2
"bucks","for","bucks",2
"bud","light","bud",2
"buddy","in","buddy",2
"budget","for","budget",2
"buenos","aires","buenos",2
"buffalo","chicken","buffalo",2
"bugs","and","bugs",2
"build","a","build",2
"building","a","building",2
"buildings","and","buildings",2
"built","in","built",2
"bulk","of","bulk",2
"bull","run","bull",2
"bullet","train","bullet",2
"bulletin","board","bulletin",2
"bulls","and","bulls",2
"bullying","and","bullying",2
"bump","in","bump",2
"bumper","cars","bumper",2
"bumps","in","bumps",2
"bunch","of","bunch",2
"bundle","of","bundle",2
"bunny","rabbits","bunny",2
"burden","of","burden",2
"bureau","of","bureau",2
"burger","king","burger",2
"burgers","and","burgers",2
"buried","in","buried",2
"burn","and","burn",2
"burned","out","burned",2
"burning","a","burning",2
"burnt","orange","burnt",2
"burst","of","burst",2
"bursting","into","bursting",2
"bursts","of","bursts",2
"bus","stop","bus",2
"bush","administration","bush",2
"business","and","business",2
"businesses","and","businesses",2
"bust","and","bust",2
"busta","rhymes","busta",2
"busy","with","busy",2
"but","i","but",2
"butt","in","butt",2
"butter","and","butter",2
"butterflies","and","butterflies",2
"button","and","button",2
"buttons","and","buttons",2
"buy","a","buy",2
"buyers","to","buyers",2
"buying","a","buying",2
"buzz","about","buzz",2
"by","the","by",2
"byrd","was","byrd",2
"c","of","c",2
"cab","and","cab",2
"cabernet","sauvignon","cabernet",2
"cabin","in","cabin",2
"cabinet","of","cabinet",2
"cable","and","cable",2
"cabo","san","cabo",2
"cafe","in","cafe",2
"cafeteria","at","cafeteria",2
"cake","and","cake",2
"cakes","and","cakes",2
"caleb","and","caleb",2
"calendar","and","calendar",2
"california","and","california",2
"call","it","call",2
"called","the","called",2
"calling","for","calling",2
"calls","for","calls",2
"calm","and","calm",2
"calms","down","calms",2
"calories","and","calories",2
"cam","and","cam",2
"came","to","came",2
"camera","and","camera",2
"cameras","and","cameras",2
"cameron","and","cameron",2
"camp","in","camp",2
"campaign","for","campaign",2
"campaigning","in","campaigning",2
"campaigns","and","campaigns",2
"campbell","and","campbell",2
"camped","out","camped",2
"camping","and","camping",2
"camps","and","camps",2
"campus","in","campus",2
"can","be","can",2
"can’t","wait","can’t",2
"canada","and","canada",2
"cancel","the","cancel",2
"cancer","and","cancer",2
"candidate","for","candidate",2
"candidates","for","candidates",2
"candlelight","vigil","candlelight",2
"candles","and","candles",2
"candy","and","candy",2
"canned","goods","canned",2
"cannot","be","cannot",2
"cans","of","cans",2
"cant","wait","cant",2
"canyon","and","canyon",2
"cap","and","cap",2
"capabilities","of","capabilities",2
"capable","of","capable",2
"capacity","to","capacity",2
"cape","cod","cape",2
"capital","of","capital",2
"capitalize","on","capitalize",2
"capitol","hill","capitol",2
"caps","and","caps",2
"captain","america","captain",2
"capture","the","capture",2
"captured","on","captured",2
"car","and","car",2
"caramelized","onions","caramelized",2
"carbon","dioxide","carbon",2
"card","and","card",2
"cardboard","and","cardboard",2
"cardinals","in","cardinals",2
"cards","and","cards",2
"care","of","care",2
"cared","for","cared",2
"career","and","career",2
"careers","in","careers",2
"careful","not","careful",2
"cares","about","cares",2
"caring","for","caring",2
"carlos","santana","carlos",2
"carmelo","anthony","carmelo",2
"carnegie","hall","carnegie",2
"carolina","is","carolina",2
"carpe","diem","carpe",2
"carpet","and","carpet",2
"carrie","underwood","carrie",2
"carried","out","carried",2
"carries","a","carries",2
"carrot","cake","carrot",2
"carrots","in","carrots",2
"carry","out","carry",2
"carrying","a","carrying",2
"cars","and","cars",2
"cart","and","cart",2
"carter","and","carter",2
"cartoons","and","cartoons",2
"case","of","case",2
"cases","of","cases",2
"casey","anthony","casey",2
"cash","and","cash",2
"casino","in","casino",2
"cask","of","cask",2
"cast","of","cast",2
"castles","and","castles",2
"casual","in","casual",2
"cat","and","cat",2
"catalyst","for","catalyst",2
"catch","up","catch",2
"catches","fire","catches",2
"catching","up","catching",2
"catchy","and","catchy",2
"category","and","category",2
"cater","to","cater",2
"catering","to","catering",2
"catholic","church","catholic",2
"cats","and","cats",2
"caught","up","caught",2
"cause","of","cause",2
"caused","by","caused",2
"causes","cancer","causes",2
"causing","it","causing",2
"cautiously","optimistic","cautiously",2
"cave","to","cave",2
"caved","in","caved",2
